mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__learning_rate_init,param_clf__solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
21.726500272750854,0.0,0.017925739288330078,0.0,relu,0.001,"(100,)",adaptive,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8169123351435221,0.8169123351435221,0.0,105
7.359920978546143,0.0,0.017853260040283203,0.0,relu,0.001,"(100,)",adaptive,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8758727695888285,0.8758727695888285,0.0,45
22.170825958251953,0.0,0.02513265609741211,0.0,relu,0.001,"(100,)",adaptive,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8882854926299457,0.8882854926299457,0.0,19
42.016940116882324,0.0,0.05841636657714844,0.0,relu,0.001,"(200,)",constant,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.9010861132660978,0.9010861132660978,0.0,3
41.418792963027954,0.0,0.04549741744995117,0.0,relu,0.001,"(200,)",constant,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8254460822342902,0.8254460822342902,0.0,95
12.47342824935913,0.0,0.03155231475830078,0.0,relu,0.001,"(200,)",constant,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.877812257564003,0.877812257564003,0.0,35
41.23843789100647,0.0,0.03069758415222168,0.0,relu,0.001,"(200,)",constant,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8948797517455391,0.8948797517455391,0.0,9
42.34581995010376,0.0,0.0344853401184082,0.0,relu,0.001,"(200,)",adaptive,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.9010861132660978,0.9010861132660978,0.0,3
41.908507108688354,0.0,0.032586097717285156,0.0,relu,0.001,"(200,)",adaptive,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8254460822342902,0.8254460822342902,0.0,95
12.395990133285522,0.0,0.03168940544128418,0.0,relu,0.001,"(200,)",adaptive,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.877812257564003,0.877812257564003,0.0,35
